family individual generation sex morph
P2 MG001 P female NA
P2 MG002 P male fighter
P2 MG015 F1 female NA
P2 MG016 F1 male scrambler
P2 MG051 F2 male fighter
P2 MG052 F2 male fighter
P2 MG053 F2 male fighter
P2 MG054 F2 female NA
P2 MG055 F2 female NA
P2 MG056 F2 female NA
P2 MG057 F2 female NA
P2 MG058 F2 female NA
P2 MG060 F2 female NA
P2 MG061 F2 female NA
P2 MG062 F2 female NA
P2 MG063 F2 female NA
P2 MG064 F2 female NA
P2 MG065 F2 female NA
P2 MG066 F2 female NA
P2 MG067 F2 female NA
P2 MG068 F2 male scrambler
P2 MG069 F2 female NA
P2 MG070 F2 female NA
P2 MG071 F2 female NA
P2 MG072 F2 female NA
P2 MG073 F2 female NA
P2 MG074 F2 female NA
P2 MG075 F2 female NA
P2 MG076 F2 male scrambler
P2 MG077 F2 male scrambler
P2 MG078 F2 male scrambler
P2 MG079 F2 female NA
P2 MG080 F2 female NA
P2 MG081 F2 female NA
P2 MG082 F2 female NA
P10 MG007 P female NA
P10 MG008 P male fighter
P10 MG027 F1 female NA
P10 MG028 F1 male scrambler
P10 MG110 F2 male fighter
P10 MG111 F2 male fighter
P10 MG112 F2 male scrambler
P10 MG113 F2 female NA
P10 MG114 F2 female NA
P10 MG115 F2 female NA
P10 MG116 F2 female NA
P10 MG117 F2 female NA
P10 MG118 F2 female NA
P10 MG119 F2 female NA
P10 MG120 F2 female NA
P10 MG121 F2 female NA
P10 MG122 F2 male unknown
P10 MG123 F2 female NA
P10 MG124 F2 female NA
P10 MG125 F2 female NA
P10 MG126 F2 female NA
P10 MG127 F2 female NA
P10 MG128 F2 male scrambler
P10 MG129 F2 male scrambler
P10 MG130 F2 female NA
P10 MG131 F2 male fighter
P10 MG132 F2 female NA
P10 MG133 F2 male scrambler
P10 MG134 F2 male scrambler
P10 MG135 F2 male scrambler
P10 MG136 F2 male scrambler
P10 MG137 F2 male scrambler
P10 MG138 F2 male scrambler
P10 MG139 F2 female NA
P10 MG140 F2 female NA
P10 MG141 F2 male scrambler
P6 MG003 P female NA
P6 MG004 P male scrambler
P6 MG019 F1 female NA
P6 MG020 F1 male scrambler
P6 MG222 F2 female NA
P6 MG223 F2 female NA
P6 MG224 F2 female NA
P6 MG225 F2 female NA
P6 MG226 F2 male scrambler
P6 MG227 F2 male fighter
P6 MG228 F2 male fighter
P6 MG229 F2 female NA
P6 MG230 F2 male scrambler
P6 MG231 F2 female NA
P6 MG232 F2 male scrambler
P6 MG233 F2 female NA
P6 MG234 F2 female NA
P6 MG235 F2 female NA
P6 MG236 F2 female NA
P6 MG237 F2 female NA
P6 MG238 F2 female NA
P6 MG239 F2 female NA
P6 MG240 F2 female NA
P6 MG241 F2 male fighter
P6 MG242 F2 female NA
P6 MG243 F2 male fighter
P6 MG244 F2 female NA
P6 MG245 F2 female NA
P6 MG246 F2 female NA
P6 MG247 F2 male fighter
P6 MG248 F2 female NA
P6 MG249 F2 male fighter
P6 MG250 F2 female NA
P6 MG251 F2 female NA
P6 MG252 F2 female NA
P6 MG253 F2 female NA
P6 MG254 F2 female NA
P6 MG255 F2 female NA
P6 MG256 F2 female NA
P6 MG257 F2 female NA
P6 MG258 F2 male fighter
P6 MG259 F2 female NA
P6 MG260 F2 male fighter
P6 MG261 F2 female NA
P6 MG262 F2 female NA
P6 MG263 F2 female NA
P6 MG264 F2 female NA
P6 MG265 F2 male fighter
P6 MG266 F2 female NA
P6 MG267 F2 female NA
P6 MG268 F2 female NA
P6 MG269 F2 female NA
P6 MG270 F2 male fighter
P6 MG271 F2 female NA
P6 MG272 F2 male scrambler
P6 MG273 F2 male fighter
P6 MG274 F2 female NA
P6 MG275 F2 male fighter
P6 MG276 F2 male scrambler
P6 MG277 F2 male scrambler
P6 MG278 F2 male scrambler
P6 MG279 F2 female NA
P6 MG280 F2 male fighter
P6 MG281 F2 male scrambler
P8_2 MG005 P female NA
P8_2 MG006 P male fighter
P8_2 MG023 F1 female NA
P8_2 MG024 F1 male scrambler
P8_2 MG282 F2 female NA
P8_2 MG283 F2 male scrambler
P8_2 MG284 F2 female NA
P8_2 MG285 F2 male scrambler
P8_2 MG286 F2 male scrambler
P8_2 MG287 F2 female NA
P8_2 MG288 F2 male scrambler
P8_2 MG289 F2 male scrambler
P8_2 MG290 F2 female NA
P8_2 MG291 F2 female NA
P8_2 MG292 F2 male scrambler
P8_2 MG293 F2 male scrambler
P8_2 MG294 F2 male fighter
P8_2 MG295 F2 male scrambler
P8_2 MG296 F2 female NA
P8_2 MG297 F2 male fighter
P8_2 MG299 F2 male scrambler
P8_2 MG300 F2 male scrambler
P8_2 MG301 F2 male scrambler
P8_2 MG302 F2 male scrambler
P8_2 MG303 F2 male scrambler
P8_2 MG304 F2 female NA
P8_2 MG305 F2 male scrambler
P8_2 MG306 F2 female NA
P8_2 MG307 F2 female NA
P8_2 MG308 F2 male unknown
