LG,infMask,window_start,window_end,rec_rate,physical_length,relative_position
chr1,female map,0,1000000,0.559,54558368,0.00916449700254964
chr1,female map,1000000,2000000,0,54558368,0.0274934910076489
chr1,female map,2000000,3000000,1.117,54558368,0.0458224850127482
chr1,female map,3000000,4000000,1.676,54558368,0.0641514790178475
chr1,female map,4000000,5000000,1.117,54558368,0.0824804730229467
chr1,female map,5000000,6000000,0.558999999999999,54558368,0.100809467028046
chr1,female map,6000000,7000000,0,54558368,0.119138461033145
chr1,female map,7000000,8000000,1.676,54558368,0.137467455038245
chr1,female map,8000000,9000000,0.559,54558368,0.155796449043344
chr1,female map,9000000,10000000,0,54558368,0.174125443048443
chr1,female map,10000000,11000000,0,54558368,0.192454437053542
chr1,female map,11000000,12000000,0,54558368,0.210783431058642
chr1,female map,12000000,13000000,0,54558368,0.229112425063741
chr1,female map,13000000,14000000,0,54558368,0.24744141906884
chr1,female map,14000000,15000000,0,54558368,0.265770413073939
chr1,female map,15000000,16000000,0,54558368,0.284099407079039
chr1,female map,16000000,17000000,0,54558368,0.302428401084138
chr1,female map,17000000,18000000,0,54558368,0.320757395089237
chr1,female map,18000000,19000000,0,54558368,0.339086389094337
chr1,female map,19000000,20000000,0.558,54558368,0.357415383099436
chr1,female map,20000000,21000000,0,54558368,0.375744377104535
chr1,female map,21000000,22000000,0,54558368,0.394073371109634
chr1,female map,22000000,23000000,1.118,54558368,0.412402365114734
chr1,female map,23000000,24000000,1.117,54558368,0.430731359119833
chr1,female map,24000000,25000000,1.117,54558368,0.449060353124932
chr1,female map,25000000,26000000,3.352,54558368,0.467389347130031
chr1,female map,26000000,27000000,0,54558368,0.485718341135131
chr1,female map,27000000,28000000,0,54558368,0.50404733514023
chr1,female map,28000000,29000000,0,54558368,0.522376329145329
chr1,female map,29000000,30000000,0,54558368,0.540705323150429
chr1,female map,30000000,31000000,0,54558368,0.559034317155528
chr1,female map,31000000,32000000,0,54558368,0.577363311160627
chr1,female map,32000000,33000000,0,54558368,0.595692305165726
chr1,female map,33000000,34000000,0,54558368,0.614021299170826
chr1,female map,34000000,35000000,0,54558368,0.632350293175925
chr1,female map,35000000,36000000,0.558999999999999,54558368,0.650679287181024
chr1,female map,36000000,37000000,0,54558368,0.669008281186123
chr1,female map,37000000,38000000,0,54558368,0.687337275191223
chr1,female map,38000000,39000000,0,54558368,0.705666269196322
chr1,female map,39000000,40000000,0,54558368,0.723995263201421
chr1,female map,40000000,41000000,0,54558368,0.742324257206521
chr1,female map,41000000,42000000,0,54558368,0.76065325121162
chr1,female map,42000000,43000000,0,54558368,0.778982245216719
chr1,female map,43000000,44000000,0,54558368,0.797311239221818
chr1,female map,44000000,45000000,0.559000000000001,54558368,0.815640233226918
chr1,female map,45000000,46000000,0,54558368,0.833969227232017
chr1,female map,46000000,47000000,0,54558368,0.852298221237116
chr1,female map,47000000,48000000,0.558,54558368,0.870627215242215
chr1,female map,49000000,50000000,1.676,54558368,0.907285203252414
chr1,female map,50000000,51000000,0.559000000000001,54558368,0.925614197257513
chr1,female map,51000000,52000000,0,54558368,0.943943191262613
chr1,female map,52000000,53000000,0.559000000000001,54558368,0.962272185267712
chr1,female map,53000000,54000000,0,54558368,0.980601179272811
chr1,female map,54000000,54558368,2.00047280646456,54558368,0.99488283813768
chr1,male map,0,1000000,0.559,54558368,0.00916449700254964
chr1,male map,1000000,2000000,0,54558368,0.0274934910076489
chr1,male map,2000000,3000000,0,54558368,0.0458224850127482
chr1,male map,3000000,4000000,1.117,54558368,0.0641514790178475
chr1,male map,4000000,5000000,0.559,54558368,0.0824804730229467
chr1,male map,5000000,6000000,0.558,54558368,0.100809467028046
chr1,male map,6000000,7000000,0,54558368,0.119138461033145
chr1,male map,7000000,8000000,0,54558368,0.137467455038245
chr1,male map,8000000,9000000,0.559,54558368,0.155796449043344
chr1,male map,9000000,10000000,0,54558368,0.174125443048443
chr1,male map,10000000,11000000,0,54558368,0.192454437053542
chr1,male map,11000000,12000000,0,54558368,0.210783431058642
chr1,male map,12000000,13000000,0,54558368,0.229112425063741
chr1,male map,13000000,14000000,0.558,54558368,0.24744141906884
chr1,male map,14000000,15000000,0,54558368,0.265770413073939
chr1,male map,15000000,16000000,0,54558368,0.284099407079039
chr1,male map,16000000,17000000,0,54558368,0.302428401084138
chr1,male map,17000000,18000000,0,54558368,0.320757395089237
