individual	parent	chromosome	position_chromosome
MG310	mother	chr1	491659
MG064	mother	chr1	2714312
MG082	mother	chr1	2714312
MG114	mother	chr1	3192646
MG271	father	chr1	3192646
MG271	mother	chr1	3192646
MG247	mother	chr1	3852654
MG254	father	chr1	3852654
MG131	mother	chr1	4113578
MG268	mother	chr1	4972450
MG132	mother	chr1	5215512
MG261	father	chr1	7463756
MG056	mother	chr1	7479186
MG070	mother	chr1	7479186
MG075	mother	chr1	7479186
MG138	mother	chr1	8123106
MG263	father	chr1	13184896
MG227	father	chr1	19333119
MG227	mother	chr1	19333119
MG126	mother	chr1	22111539
MG139	mother	chr1	22149168
MG233	father	chr1	23328982
MG111	mother	chr1	23343212
MG255	father	chr1	23438673
MG276	father	chr1	23635442
MG276	mother	chr1	23635442
MG141	mother	chr1	24481341
MG305	mother	chr1	24862035
MG081	mother	chr1	25528872
MG229	mother	chr1	25539360
MG130	mother	chr1	25663885
MG307	mother	chr1	25788488
MG310	mother	chr1	25788488
MG122	mother	chr1	25921927
MG226	father	chr1	27519733
MG280	father	chr1	27519733
MG116	father	chr1	28196102
MG338	mother	chr1	35801402
MG271	father	chr1	36031106
MG271	mother	chr1	36031106
MG277	father	chr1	37056757
MG263	mother	chr1	42722051
MG279	mother	chr1	44250171
MG240	father	chr1	44660977
MG246	mother	chr1	47908629
MG061	mother	chr1	49735557
MG069	mother	chr1	49735557
MG284	father	chr1	49984853
MG284	mother	chr1	49984853
MG138	mother	chr1	50226525
MG317	father	chr1	50604847
MG283	mother	chr1	51115700
MG285	mother	chr1	51115700
MG302	mother	chr1	51115700
MG308	mother	chr1	51115700
MG314	mother	chr1	51115700
MG319	mother	chr1	51115700
MG330	mother	chr1	51115700
MG332	mother	chr1	51115700
MG265	mother	chr1	52838897
MG245	mother	chr1	54190609
MG116	mother	chr2	273811
MG128	mother	chr2	361404
MG332	father	chr2	1160143
MG283	mother	chr2	1169672
MG284	mother	chr2	1169672
MG289	mother	chr2	1169672
MG291	mother	chr2	1169672
MG302	mother	chr2	1169672
MG318	mother	chr2	1169672
MG339	mother	chr2	1169672
MG111	father	chr2	1284596
MG118	mother	chr2	1650482
MG324	mother	chr2	1679680
MG115	father	chr2	3541023
MG117	mother	chr2	3717754
MG253	mother	chr2	4116372
MG256	mother	chr2	4308248
MG310	mother	chr2	4797708
MG315	mother	chr2	6536043
MG294	mother	chr2	6536849
MG121	father	chr2	6557476
MG297	mother	chr2	6796167
MG333	mother	chr2	7034575
MG326	mother	chr2	7420616
MG070	mother	chr2	7659972
MG123	mother	chr2	9087097
MG129	mother	chr2	9461866
MG051	mother	chr2	10733094
MG069	mother	chr2	11098709
MG057	mother	chr2	11355543
MG306	mother	chr2	11399161
MG300	mother	chr2	11633088
MG075	mother	chr2	11699683
MG110	mother	chr2	12293813
MG052	mother	chr2	12350396
MG124	mother	chr2	24343481
MG311	mother	chr2	24343481
MG074	mother	chr2	27714976
MG127	mother	chr2	33154559
MG130	mother	chr2	33944744
